R_forearm_angle_deg,R_forearm_velocity_m_s,R_forearm_torque_Nm,L_forearm_angle_deg,L_forearm_velocity_m_s,L_forearm_torque_Nm,R_upperarm_angle_deg,R_upperarm_velocity_m_s,R_upperarm_torque_Nm,L_upperarm_angle_deg,L_upperarm_velocity_m_s,L_upperarm_torque_Nm,R_thigh_angle_deg,R_thigh_velocity_m_s,R_thigh_torque_Nm,L_thigh_angle_deg,L_thigh_velocity_m_s,L_thigh_torque_Nm,R_shank_angle_deg,R_shank_velocity_m_s,R_shank_torque_Nm,L_shank_angle_deg,L_shank_velocity_m_s,L_shank_torque_Nm,torso_angle_deg,torso_velocity_m_s,torso_torque_Nm
160.5,0.0,0.42,142.2,0.0,0.66,32.2,0.0,1.39,27.5,0.0,1.14,176.0,0.0,0.92,170.4,0.0,2.22,177.6,0.0,0.23,176.1,0.0,0.36,97.4,0.0,44.57
161.2741935483871,-0.013548387096774195,0.4080645161290322,131.88064516129032,-1.661935483870968,0.8387096774193548,25.322580645161292,1.0825806451612905,1.062258064516129,39.825806451612905,1.9774193548387093,1.3206451612903225,177.17419354838708,-1.1738709677419352,0.7161290322580645,170.99999999999997,-0.26580645161290306,2.3203225806451617,178.441935483871,0.4941935483870968,0.15645161290322582,176.02258064516133,1.1135483870967744,0.3970967741935484,97.28709677419356,0.47774193548387095,47.39645161290322
156.10655737704917,-0.008688524590163931,0.4521311475409836,140.09999999999997,0.01786885245901569,0.6872131147540984,24.675409836065572,0.2731147540983607,1.0503278688524589,33.58688524590164,1.057868852459016,1.2109836065573771,177.6967213114754,-2.754262295081967,0.5844262295081967,169.69508196721316,-0.2408196721311475,2.661639344262295,178.472131147541,-0.37196721311475406,0.15868852459016394,177.14590163934426,0.248360655737705,0.2921311475409836,98.11803278688524,0.08901639344262295,46.70131147540983
154.18021978021977,-0.003846153846153835,0.486043956043956,142.4846153846154,0.08010989010988971,0.6369230769230769,26.906593406593405,0.28186813186813187,1.1512087912087912,31.886813186813196,1.1934065934065934,1.241208791208791,175.4725274725275,-1.5716483516483517,0.7882417582417582,167.789010989011,-0.47857142857142854,2.557472527472527,175.71428571428572,0.278901098901099,0.3161538461538462,174.34285714285716,-0.24428571428571433,0.37791208791208786,97.49450549450547,0.6519780219780219,46.52153846153846
152.54399999999998,0.0031000000000000003,0.5453000000000001,149.733,0.17629999999999996,0.5353,29.142,-1.4168,1.2134,28.169,-0.07220000000000003,1.2357,175.00500000000002,-1.0359,0.9584,168.283,-0.7260000000000001,2.5048000000000004,176.146,0.12550000000000014,0.28870000000000007,174.995,-0.5434,0.34190000000000004,97.653,0.5041,46.48680000000001
151.069,0.012000000000000002,0.5855,151.812,-0.7777,0.5351,33.466,-2.1127,1.2900999999999998,28.386,0.7812,1.2723000000000002,173.95800000000003,0.47480000000000006,1.2532000000000003,169.62000000000003,-1.4704,2.1796999999999995,176.09799999999998,-0.17289999999999994,0.2987,174.93899999999996,0.12620000000000006,0.3507,97.209,0.35739999999999994,47.0507
144.917,-0.0013000000000000036,0.6509999999999999,153.26000000000002,-0.5718999999999996,0.5199000000000001,40.259,-1.5004999999999997,1.3122999999999998,28.34700000000001,1.091,1.2516,173.69199999999998,0.7147999999999998,1.3248,170.10800000000003,-2.2173000000000003,2.0189000000000004,175.997,0.5029,0.30430000000000007,175.39,0.8747999999999999,0.2975,97.29299999999999,0.40019999999999994,47.0586
149.39700000000002,0.006900000000000007,0.5798,149.361,-0.9525000000000001,0.6727000000000001,37.868,-0.3357000000000002,1.2351,31.130000000000006,0.2227999999999998,1.2810000000000001,174.23600000000005,0.22669999999999974,1.5352000000000003,173.14899999999994,-1.3448999999999998,1.8033000000000001,178.21099999999998,-0.17459999999999998,0.20240000000000005,178.32399999999998,1.5014,0.18719999999999998,97.17199999999998,-0.68,47.39150000000001
151.138,0.001899999999999995,0.57,149.578,1.1057999999999997,0.6782,36.427,-0.33140000000000003,1.2565,30.687,-1.0976000000000001,1.2311,173.76500000000007,0.3485999999999997,1.6467999999999998,173.28900000000002,-1.2475,1.7632999999999999,178.19099999999995,0.14990000000000006,0.20220000000000002,178.771,0.6591000000000001,0.1382,97.126,-0.5606,47.0656
159.241,0.0004000000000000005,0.5048,147.695,1.4469,0.7050000000000002,29.432999999999996,-0.4998,1.2578000000000003,32.444,-2.1113999999999997,1.2643999999999997,172.92700000000002,-0.2593,1.8493999999999997,173.33400000000006,-0.7269999999999999,1.7359999999999998,178.549,0.09130000000000006,0.1613,178.92100000000002,0.8014,0.1205,97.51299999999998,-0.7769999999999999,46.62529999999999
156.81199999999998,0.000800000000000006,0.5390999999999999,146.88899999999998,0.7117999999999998,0.6996999999999999,30.951,0.2632999999999999,1.3356000000000001,33.711999999999996,-1.8241000000000003,1.3185999999999998,172.79299999999995,0.4000999999999999,1.8894,173.12300000000002,-0.09440000000000001,1.7867000000000002,178.71000000000004,-0.13540000000000002,0.1442,178.729,0.6988,0.1418,97.53000000000002,-0.30490000000000006,46.5186
153.852,-0.002399999999999996,0.6169,149.93200000000002,-1.5064000000000002,0.6103999999999999,33.547999999999995,0.036900000000000044,1.4267,29.511999999999997,-3.0659000000000005,1.2756,172.849,0.5913,1.8745000000000003,173.05200000000002,-0.0968,1.8129,178.5300000000001,0.5433,0.16549999999999998,178.065,0.5483,0.2181,97.714,0.10500000000000004,46.60149999999999
